CardID,Folder,Spec,Manufacturer,Sample_Name,Pattern,Standard,Replicate,Extension
temp_specs,spec0_0001,SPECTRUM0000,guardian,part3,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0001,guardian,part3,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0002,guardian,part3,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0003,guardian,part3,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0004,guardian,part3,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0005,guardian,part3,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0006,saintgobain,stg20211,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0007,saintgobain,stg20211,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0008,saintgobain,stg20211,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0009,saintgobain,stg20211,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0010,saintgobain,stg20211,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0011,saintgobain,stg20211,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0012,arnold,60,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0013,arnold,60,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0014,arnold,60,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0015,arnold,60,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0016,arnold,60,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0017,arnold,60,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0018,arnold,61,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0019,arnold,61,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0020,arnold,61,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0021,arnold,61,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0022,arnold,61,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0023,arnold,61,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0024,arnold,59,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0025,arnold,59,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0026,arnold,59,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0027,arnold,59,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0028,arnold,59,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0029,arnold,59,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0030,guardian,60UV,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0031,guardian,60UV,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0032,guardian,60UV,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0033,guardian,60UV,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0034,guardian,60UV,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0035,guardian,60UV,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0036,guardian,part1,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0037,guardian,part1,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0038,guardian,part1,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0039,guardian,part1,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0040,guardian,part1,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0041,guardian,part1,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0042,guardian,part2,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0043,guardian,part2,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0044,guardian,part2,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0045,guardian,part2,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0046,guardian,part2,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0047,guardian,part2,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0048,mcgrory,mgbp021,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0049,mcgrory,mgbp021,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0050,mcgrory,mgbp021,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0051,mcgrory,mgbp021,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0052,mcgrory,mgbp021,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0053,mcgrory,mgbp021,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0054,mcgrory,mgbp008,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0055,mcgrory,mgbp008,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0056,mcgrory,mgbp008,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0057,mcgrory,mgbp008,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0058,mcgrory,mgbp008,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0059,mcgrory,mgbp008,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0060,korea,blackwire,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0061,korea,blackwire,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0062,korea,blackwire,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0063,korea,blackwire,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0064,korea,blackwire,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0065,korea,blackwire,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0066,saintgobain,twoinchtape,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0067,saintgobain,twoinchtape,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0068,saintgobain,twoinchtape,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0069,saintgobain,twoinchtape,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0070,saintgobain,twoinchtape,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0071,saintgobain,twoinchtape,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0072,mcgrory,mgbp017,on,white,1,jaz
temp_specs,spec0_0001,SPECTRUM0073,mcgrory,mgbp017,on,white,2,jaz
temp_specs,spec0_0001,SPECTRUM0074,mcgrory,mgbp017,on,white,3,jaz
temp_specs,spec0_0001,SPECTRUM0075,mcgrory,mgbp017,off,white,1,jaz
temp_specs,spec0_0001,SPECTRUM0076,mcgrory,mgbp017,off,white,2,jaz
temp_specs,spec0_0001,SPECTRUM0077,mcgrory,mgbp017,off,white,3,jaz
temp_specs,spec0_0001,SPECTRUM0078,pilkington,two,on,white,1,jaz
temp_specs,spec0_0001,SPECTRUM0079,pilkington,two,on,white,2,jaz
temp_specs,spec0_0001,SPECTRUM0080,pilkington,two,on,white,3,jaz
temp_specs,spec0_0001,SPECTRUM0081,pilkington,two,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0082,pilkington,two,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0083,pilkington,two,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0084,pilkington,one,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0085,pilkington,one,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0086,pilkington,one,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0087,pilkington,one,on,white,1,jaz
temp_specs,spec0_0001,SPECTRUM0088,pilkington,one,on,white,2,jaz
temp_specs,spec0_0001,SPECTRUM0089,pilkington,one,on,white,3,jaz
temp_specs,spec0_0001,SPECTRUM0090,korea,graysquares,on,white,1,jaz
temp_specs,spec0_0001,SPECTRUM0091,korea,graysquares,on,white,2,jaz
temp_specs,spec0_0001,SPECTRUM0092,korea,graysquares,on,white,3,jaz
temp_specs,spec0_0001,SPECTRUM0093,korea,graysquares,off,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0094,korea,graysquares,off,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0095,korea,graysquares,off,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0096,guardian,g3n20dots,on,mirror,1,jaz
temp_specs,spec0_0001,SPECTRUM0097,guardian,g3n20dots,on,mirror,2,jaz
temp_specs,spec0_0001,SPECTRUM0098,guardian,g3n20dots,on,mirror,3,jaz
temp_specs,spec0_0001,SPECTRUM0099,guardian,g3n20dots,off,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0000,guardian,g3n20dots,off,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0001,guardian,g3n20dots,off,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0002,pennstate,psubfc1,on,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0003,pennstate,psubfc1,on,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0004,pennstate,psubfc1,on,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0005,pennstate,psubfc1,off,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0006,pennstate,psubfc1,off,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0007,pennstate,psubfc1,off,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0008,arnold,62,on,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0009,arnold,62,on,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0010,arnold,62,on,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0011,arnold,62,off,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0012,arnold,62,off,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0013,arnold,62,off,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0014,guardian,decohtblack,na,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0015,guardian,decohtblack,na,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0016,guardian,decohtblack,na,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0017,guardian,decohtwhite,na,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0018,guardian,decohtwhite,na,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0019,guardian,decohtwhite,na,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0020,guardian,decohtwarmgray,na,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0021,guardian,decohtwarmgray,na,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0022,guardian,decohtwarmgray,na,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0023,eastman,3333bh,on,white,1,jaz
temp_specs,spec0_0002,SPECTRUM0024,eastman,3333bh,on,white,2,jaz
temp_specs,spec0_0002,SPECTRUM0025,eastman,3333bh,on,white,3,jaz
temp_specs,spec0_0002,SPECTRUM0026,eastman,3333bh,off,mirror,1,jaz
temp_specs,spec0_0002,SPECTRUM0027,eastman,3333bh,off,mirror,2,jaz
temp_specs,spec0_0002,SPECTRUM0028,eastman,3333bh,off,mirror,3,jaz
temp_specs,spec0_0002,SPECTRUM0029,korea,graysquares,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0030,korea,graysquares,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0031,korea,graysquares,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0032,korea,graysquares,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0033,korea,graysquares,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0034,korea,graysquares,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0035,arnold,62,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0036,arnold,62,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0037,arnold,62,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0038,arnold,62,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0039,arnold,62,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0040,arnold,62,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0041,pennstate,psubfc1,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0042,pennstate,psubfc1,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0043,pennstate,psubfc1,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0044,pennstate,psubfc1,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0045,pennstate,psubfc1,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0046,pennstate,psubfc1,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0047,guardian,g3n20dots,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0048,guardian,g3n20dots,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0049,guardian,g3n20dots,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0050,guardian,g3n20dots,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0051,guardian,g3n20dots,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0052,guardian,g3n20dots,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0053,pilkington,one,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0054,pilkington,one,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0055,pilkington,one,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0056,pilkington,one,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0057,pilkington,one,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0058,pilkington,one,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0059,pilkington,two,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0060,pilkington,two,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0061,pilkington,two,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0062,pilkington,two,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0063,pilkington,two,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0064,pilkington,two,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0065,mcgrory,mgbp017,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0066,mcgrory,mgbp017,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0067,mcgrory,mgbp017,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0068,mcgrory,mgbp017,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0069,mcgrory,mgbp017,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0070,mcgrory,mgbp017,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0071,saintgobain,twoinchtape,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0072,saintgobain,twoinchtape,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0073,saintgobain,twoinchtape,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0074,saintgobain,twoinchtape,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0075,saintgobain,twoinchtape,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0076,saintgobain,twoinchtape,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0077,korea,blackwire,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0078,korea,blackwire,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0079,korea,blackwire,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0080,korea,blackwire,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0081,korea,blackwire,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0082,korea,blackwire,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0083,mcgrory,mgbp008,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0084,mcgrory,mgbp008,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0085,mcgrory,mgbp008,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0086,mcgrory,mgbp008,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0087,mcgrory,mgbp008,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0088,mcgrory,mgbp008,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0089,mcgrory,mgbp021,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0090,mcgrory,mgbp021,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0091,mcgrory,mgbp021,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0092,mcgrory,mgbp021,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0093,mcgrory,mgbp021,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0094,mcgrory,mgbp021,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0095,guardian,part2,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0096,guardian,part2,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0097,guardian,part2,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0098,guardian,part2,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0099,guardian,part2,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0000,guardian,part2,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0001,guardian,part3,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0002,guardian,part3,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0003,guardian,part3,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0004,guardian,part3,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0005,guardian,part3,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0006,guardian,part3,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0007,saintgobain,stg20211,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0008,saintgobain,stg20211,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0009,saintgobain,stg20211,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0010,saintgobain,stg20211,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0011,saintgobain,stg20211,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0012,saintgobain,stg20211,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0013,arnold,60,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0014,arnold,60,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0015,arnold,60,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0016,arnold,60,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0017,arnold,60,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0018,arnold,60,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0019,arnold,61,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0020,arnold,61,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0021,arnold,61,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0022,arnold,61,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0023,arnold,61,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0024,arnold,61,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0025,arnold,59,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0026,arnold,59,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0027,arnold,59,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0028,arnold,59,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0029,arnold,59,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0030,arnold,59,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0031,guardian,60UV,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0032,guardian,60UV,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0033,guardian,60UV,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0034,guardian,60UV,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0035,guardian,60UV,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0036,guardian,60UV,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0037,guardian,part1,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0038,guardian,part1,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0039,guardian,part1,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0040,guardian,part1,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0041,guardian,part1,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0042,guardian,part1,off,trans,3,jaz
